,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,ROI
335,119.0,8.2,93208911.92590645,345435377.1265433,537084.6639429812,1,1,0,0,0,1,2.70603379
336,98.0,5.5,108864879.81329569,338189374.0244132,33567032.34428422,1,1,0,0,1,0,2.1065057400000002
337,141.0,7.3,148819501.9799655,543637640.732814,38499262.87736253,1,1,0,0,0,1,2.6529999999999996
338,157.0,7.8,113005961.20446792,302839540.4409765,49231199.55677407,1,1,0,0,0,1,1.6798545600000003
339,90.0,6.9,110173208.82457606,260920651.1356025,33387603.124592714,0,0,0,1,0,0,1.3682767700000003
340,97.0,6.6,108864879.81329569,186089782.62259027,38694020.59314499,0,0,0,0,1,0,0.7093647000000003
341,165.0,8.2,102889142.04821737,401184213.9805209,18941959.98680199,1,1,0,0,0,1,2.89918903
342,103.0,6.6,102889142.04821737,270386945.6953088,34499828.18480436,0,1,0,1,0,0,1.6279444100000002
343,114.0,6.2,143142110.60035238,335525107.247226,35164929.303895846,1,1,0,0,0,1,1.3440000000000003
345,78.0,7.4,134175887.41926008,227603326.65712583,13165743.284757808,0,1,1,0,0,0,0.6963057300000003
346,103.0,6.6,104690679.25292714,326613202.2346285,29932499.460717633,0,1,0,0,0,1,2.1197925600000005
347,100.0,6.7,110173208.82457606,109207712.51943442,36021579.03015506,1,1,0,1,0,0,-0.008763439999999999
348,104.0,5.1,116059977.32931292,289555849.7083301,26972230.7955534,1,1,0,1,0,0,1.4948811499999994
349,97.0,7.3,140715567.2896572,342485668.9085341,41933609.13425983,0,1,1,0,0,0,1.4338861400000005
350,102.0,6.0,108864879.81329569,303440569.86380374,17932721.60399561,1,1,0,0,1,0,1.7873136900000002
351,120.0,5.8,137215706.10599986,290934310.8814418,28161595.797585685,0,1,0,0,0,1,1.1202697499999998
352,104.0,6.8,93208911.92590645,153923781.31106976,12447861.905702716,0,1,0,1,0,0,0.65138481
354,143.0,8.0,116059977.32931292,198901170.45704892,10037242.873765528,1,1,0,0,0,1,0.7137791599999999
355,138.0,6.7,93208911.92590645,118215989.6281224,16681989.512720447,0,0,0,0,1,0,0.26829063
356,90.0,6.9,108864879.81329569,152102436.04113248,17540539.14041461,0,0,0,1,0,0,0.39716717000000007
357,102.0,5.3,110173208.82457606,76623969.48358473,20753712.95251628,0,0,0,0,1,0,-0.30451358999999995
359,93.0,5.8,93208911.92590645,107294752.6826655,14777010.937184991,0,1,0,1,0,0,0.1511211799999999
360,103.0,6.1,101000541.63530163,211557126.29676652,16038527.459763093,0,1,0,0,1,0,1.0946137799999998
362,95.0,7.2,129205859.09013309,118610978.64474216,15612264.384391325,1,1,0,1,0,0,-0.08200000000000009
363,114.0,6.8,108864879.81329569,106168318.51329634,15577796.80387993,0,1,0,0,0,1,-0.02476979999999986
364,109.0,5.3,97162010.19578882,214529840.77647477,13318362.066695109,0,0,0,0,1,0,1.2079600899999998
366,121.0,6.9,100000000.0,89693309.0,11053366.0,0,1,0,0,1,0,-0.10306691
367,119.0,6.2,101000541.63530163,104070208.67699586,10995308.824509647,1,1,0,0,1,0,0.03039257999999988
368,128.0,6.1,94881015.05607527,81104548.79748395,7172862.416716707,0,0,0,0,1,0,-0.14519728999999995
369,108.0,5.7,88052278.75114925,23840735.61691342,3324281.705831513,0,0,0,0,1,0,-0.7292434
370,153.0,7.4,88052278.75114925,26464317.540467396,4190540.904708107,0,1,0,0,0,1,-0.69944767
371,89.0,7.0,99000000.0,250091610.0,44213073.0,0,0,1,0,0,0,1.5261778787878788
372,129.0,6.4,128595181.49800242,570858148.5100782,89411750.7441198,1,1,0,0,1,0,3.4391877040816325
373,155.0,7.5,125329683.31742908,236607739.76860029,12270512.47017312,1,1,0,0,0,1,0.8878826907216498
374,123.0,6.4,94247149.88991514,231752038.3292626,35134386.26288055,0,0,0,0,0,1,1.4589819278350518
376,87.0,6.5,99456145.29028079,921032097.755745,48816487.97770666,0,1,0,1,0,0,8.260685652631578
377,144.0,7.7,124658594.30928805,209545959.78763196,235962.97267872747,0,1,0,0,0,1,0.6809587894736843
378,119.0,5.9,103421635.82263091,242824065.9026056,34005106.79795051,0,0,0,1,0,0,1.347903936842105
379,85.0,6.1,99456145.29028079,109828631.8763355,27835639.37689283,0,1,0,0,0,1,0.10429206315789467
380,98.0,6.8,103421635.82263091,180411881.4721367,24699761.44454127,1,1,0,0,1,0,0.7444307473684211
381,126.0,7.6,133679788.92517437,371339711.184149,23965753.733808674,1,1,0,0,1,0,1.7778298736842104
382,89.0,6.9,127467093.04829708,88153558.03445388,17237109.324664123,1,0,0,1,0,0,-0.3084210526315789
383,135.0,6.6,104664548.38334727,104548258.35796875,128479.58920286762,1,1,0,0,1,0,-0.0011110736842106096
385,102.0,5.5,95950514.55353655,109964306.3752559,7289855.493286184,1,1,0,0,1,0,0.14605228421052618
386,100.0,8.2,119102893.6507192,1186080910.688742,89012573.88203369,1,0,1,0,0,0,8.958455872340426
387,201.0,9.0,119102893.6507192,1419369514.7529774,92025627.48214105,0,1,0,0,1,0,10.917170702127661
388,179.0,8.8,121453507.5447251,1187594056.8425398,80117359.25295483,0,1,0,0,1,0,8.778178340425532
389,100.0,5.7,123346398.57971661,358662701.5199753,62638638.11252039,1,1,0,0,1,0,1.9077679255319149
390,129.0,7.7,94940509.13718353,408609532.48911405,36568590.41627012,1,1,0,0,0,1,3.303848127659574
391,179.0,8.8,122034202.85014515,1169450910.5750334,61950715.56470537,0,1,0,0,1,0,8.582976602150538
392,93.0,5.9,122034202.85014515,480132417.45019484,66622335.75231783,0,0,0,0,1,0,2.9344086021505387
393,120.0,7.6,99183587.13174018,502302159.1994324,58450264.73556231,0,1,0,0,1,0,4.064367741935484
394,96.0,6.5,102563416.52217157,180555595.59840775,21071579.635302775,0,1,0,1,0,0,0.7604288324324324
395,115.0,8.0,113521411.62499277,779153088.2811624,86952000.40019357,1,1,0,1,0,0,5.8634901304347835
396,98.0,5.2,94658010.68435998,313039389.5107821,25552358.94950461,0,1,0,0,0,1,2.3070565000000003
398,114.0,7.3,93629119.2638778,193288759.4303316,13134321.659296554,0,0,0,1,0,0,1.0644086043956047
