,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
67,114.0,7.4,184016569.38923618,122662712.50880943,35993513.08101887,1,1,0,1,0,0,0
68,151.0,5.4,184016569.38923618,153065195.87718716,20977888.910372924,0,0,0,0,1,0,0
69,115.0,7.6,278298789.56124735,97356394.47699983,11271100.977230517,0,1,1,0,0,0,0
70,140.0,6.5,176104557.5022985,16923647.975970887,3698195.7075482686,1,1,0,0,1,0,0
71,154.0,6.2,207965585.9213907,1198515354.3293571,104359120.01954742,0,0,0,0,1,0,0
72,107.0,7.1,267570626.90669975,562521145.4548699,43453984.368545935,1,1,0,0,1,0,0
73,113.0,6.3,200633826.99402386,203399078.66238603,27988136.949417118,0,1,0,0,1,0,0
74,137.0,7.1,190000000.0,1514553486.0,147187040.0,0,0,0,0,1,0,0
75,132.0,7.7,195489369.891613,480884901.86896837,72192741.66843577,0,0,0,0,1,0,0
76,115.0,7.0,195489369.891613,547227888.5684927,68330566.22108632,1,1,0,0,1,0,0
77,141.0,7.2,195489369.891613,363857593.0448211,51532216.11087104,1,1,0,0,1,0,0
78,131.0,6.9,195489369.891613,422877363.77664137,38362551.0023895,0,1,0,0,1,0,0
79,148.0,5.7,167299329.62718356,137773478.3806781,9464749.128711695,0,0,0,0,0,1,0
80,92.0,6.7,187500000.0,333771037.0,39155217.0,1,1,0,1,0,0,0
81,126.0,7.9,206235626.73647472,648834520.128481,113228534.9272795,1,1,0,0,1,0,0
82,152.0,9.0,205126833.04434314,1107258887.7062054,175645653.11160973,1,1,0,0,1,0,0
83,123.0,6.2,205126833.04434314,872216383.9417238,111032199.7917134,1,1,0,0,1,0,0
84,93.0,7.1,193677756.6179152,580621345.5319028,69434621.06355363,1,1,0,1,0,0,0
85,118.0,6.7,179749718.86220932,545148891.1713022,59293575.32666825,1,1,0,0,1,0,0
86,122.0,7.0,183164262.73555103,332342849.9758305,58665247.067724556,0,0,0,0,1,0,0
